"component","score_value","estimates"
"alpha",155.726777383221,0.791527729043029
"varphi10",221.028159059288,-0.189589702853795
"varphi18",-22.1611855831877,0.222003296264274
"theta1",242.567472847803,0.478565959126275
"theta13",197.508257364506,0.295431598564632
"hs",-111.013108483031,0.531294223576629
"hc",-489.371754348049,0.775601783061891
"phi",-2.36304802113902,59.3564821772063
